feature_id	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	A15M_R1	A15M_R2	A15M_R3	A45M_R1	A45M_R2	A45M_R3	A5M_R1	A5M_R2	A5M_R3	M_R1	M_R2	M_R3	PPL_R1
FT05400	304.191374960875	304.191374960875	304.191374960875	299.516688148084	299.516688148084	299.516688148084	3230602.07217043	3636630.25895032	4357427.96073158	5160486.7591449	4429155.94274575	5251231.94024839	3375120.25958094	3624576.74099965	3736267.05175036	3031745.66041169	2476588.39229838	3117330.35978342	44754644.3169511
FT05402	304.212554052758	304.212457559717	304.212757480067	516.877548483737	516.265598175875	517.388752718623	70416084.0454815	81222046.7546993	77685081.2197001	99458958.1394059	99811843.1844155	98874861.9179976	79040694.2832419	98417938.3395597	99472218.70944	91146018.7161946	75721702.4967956	94503600.3090656	10414327.4175473
FT05403	304.212564502718	304.212470671904	304.212650287835	492.190153174008	491.76603477251	492.746194049826	68091132.6737497	77824856.9285633	81828544.5696589	90386371.5251948	144679471.265384	94488622.0002733	135220254.275885	103654997.888431	158749834.019556	99472526.2501966	86739281.0207396	105380674.89051	10953238.9170106
FT05404	304.212506268991	304.212403713299	304.212589484661	444.042262927348	443.5456327371	444.726378770466	12358198.3683455	11993909.7705694	14092432.5575973	6327574.19220038	6860199.90602696	7665798.58606069	12267759.0758079	12790778.5744719	12617314.333783	12757523.3397563	15340857.9414401	13300582.0584311	3140492.79244049
FT05405	304.21248552262	304.212279255614	304.212581291818	433.352090709038	432.845188120526	434.106966610986	21341607.5617013	21002038.6885342	22549973.4616444	9377781.22913554	9540980.0207632	9313252.28386264	13241500.7610637	18584903.4951941	19597022.8891119	21616092.1902969	21809725.148403	23032199.905847	6246731.07236827
FT05406	304.212559136091	304.212436019488	304.213440847121	502.707191032945	502.345644043203	503.370755211226	36682216.7976654	45372802.9838243	47066076.7007608	50904651.7834158	55396111.4334245	54120991.7903529	50832195.3875548	56082046.545005	59899863.7194187	53228906.0506531	49900020.7678124	58242932.3330441	5718969.65449601
FT05409	304.248967911201	304.248967911201	304.248967911201	59.0094305730227	59.0094305730227	59.0094305730227	362573.260590779	183747.200355208	453805.213078585	441675.983098305	313157.511127607	232550.087484289	298212.721852317	402456.900245072	448648.520102775	818990.062589443	152094.358267177	461080.184615953	11781518.6700202
FT05412	304.285285485912	304.285143393125	304.285359168195	467.078324755105	466.476934789437	467.260138197494	12174744.8131124	12884183.240313	13701025.4174141	437011.335370771	395427.176709609	722543.165978198	20724370.7155839	21889186.6259128	21715825.5449675	26991073.0503304	25804144.1421161	26257378.1558244	89105.8296365442
FT05413	304.300513857839	304.300445406005	304.300762939262	512.21789620075	511.29018661558	513.253459717255	438893256.950682	361856816.141537	390312958.841013	433901287.61556	450383641.928015	456850041.379879	449926462.308493	460060385.08505	439394808.958265	440265899.914118	518678554.677254	475882720.400278	5666656.70279652
FT05420	305.085084659532	305.084863787039	305.08530830008	45.4840675175627	44.9284519024056	46.0108242919782	14576719.7742615	15151355.8201773	14753426.642174	24506236.7816814	28366742.5919111	26276542.5021416	16654180.689397	17291375.45601	16888539.7710197	16129917.0680435	18271350.6844139	15954008.2886393	NA
